stock,group,model,rmse,prediction
Stock 7,large,LinearRegression,13.054924702366062,214.42593051328546
Stock 7,large,Ridge,13.05492279394591,214.42576796129197
Stock 7,large,Lasso,13.054235131934666,214.35063294687527
Stock 7,large,ElasticNet,13.054447856441726,214.371384328602
Stock 7,large,BayesianRidge,13.054598848134637,214.32333687644936
Stock 7,large,HuberRegressor,13.053033066082657,214.16416613241375
Stock 7,large,KNN,13.86001739587345,213.78857408710084
Stock 7,large,SVR_RBF,13.036877656431178,214.63092496183688
Stock 7,large,RandomForest,13.10456159037633,212.04897155441842
Stock 7,large,ExtraTrees,13.096081243745882,213.82385078148437
Stock 7,large,GradientBoosting,13.031617875607896,213.98250297119216
Stock 7,large,HistGradientBoosting,13.050797935851019,214.21432187783952
Stock 7,large,AdaBoost,13.171552782360902,212.39429992444894
Stock 7,large,XGBoost,14.103919293059942,217.8116912841797
Stock 7,large,LightGBM,13.247688046969278,215.15443163358756
